palabra;ocurrencia;noqueja;queja
detenido;0;0.99408284;0.982248521
detenido;1;0.00591716;0.017751479
baldosa;0;0.99408284;0.99408284
baldosa;1;0.00591716;0.00591716
hondura;0;0.99408284;0.98816568
hondura;1;0.00591716;0.01183432
piso;0;0.99408284;0.98816568
piso;1;0.00591716;0.01183432
salida;0;0.99408284;0.98816568
salida;1;0.00591716;0.01183432
bien;0;0.982248521;0.98816568
bien;1;0.017751479;0.01183432
zorionak;0;0.982248521;0.99408284
zorionak;1;0.017751479;0.00591716
mientras;0;0.98816568;0.99408284
mientras;1;0.01183432;0.00591716
acosar;0;0.99408284;0.982248521
acosar;1;0.00591716;0.017751479
joder;0;0.99408284;0.98816568
joder;1;0.00591716;0.01183432
sorprender;0;0.99408284;0.976331361
sorprender;1;0.00591716;0.023668639
talar;0;0.99408284;0.982248521
talar;1;0.00591716;0.017751479
arbol;0;0.99408284;0.982248521
arbol;1;0.00591716;0.017751479
saludo;0;0.982248521;0.99408284
saludo;1;0.017751479;0.00591716
mandar;0;0.982248521;0.99408284
mandar;1;0.017751479;0.00591716
obra;0;0.982248521;0.98816568
obra;1;0.017751479;0.01183432
estrategia;0;0.98816568;0.98816568
estrategia;1;0.01183432;0.01183432
obstaculo;0;0.99408284;0.98816568
obstaculo;1;0.00591716;0.01183432
tdah;0;0.98816568;0.99408284
tdah;1;0.01183432;0.00591716
joven;0;0.99408284;0.976331361
joven;1;0.00591716;0.023668639
cruzar;0;0.99408284;0.982248521
cruzar;1;0.00591716;0.017751479
mejorar;0;0.99408284;0.976331361
mejorar;1;0.00591716;0.023668639
peaton;0;0.99408284;0.982248521
peaton;1;0.00591716;0.017751479
portal;0;0.99408284;0.982248521
portal;1;0.00591716;0.017751479
proponer;0;0.99408284;0.98816568
proponer;1;0.00591716;0.01183432
seguridad;0;0.98816568;0.982248521
seguridad;1;0.01183432;0.017751479
via;0;0.99408284;0.98816568
via;1;0.00591716;0.01183432
gracia;0;0.976331361;0.99408284
gracia;1;0.023668639;0.00591716
pesar;0;0.99408284;0.976331361
pesar;1;0.00591716;0.023668639
tamborrada;0;0.982248521;0.99408284
tamborrada;1;0.017751479;0.00591716
equipo;0;0.982248521;0.99408284
equipo;1;0.017751479;0.00591716
puta;0;0.982248521;0.99408284
puta;1;0.017751479;0.00591716
suelo;0;0.98816568;0.99408284
suelo;1;0.01183432;0.00591716
vivo;0;0.98816568;0.98816568
vivo;1;0.01183432;0.01183432
traer;0;0.98816568;0.98816568
traer;1;0.01183432;0.01183432
cincar;0;0.982248521;0.99408284
cincar;1;0.017751479;0.00591716
ambiente;0;0.99408284;0.982248521
ambiente;1;0.00591716;0.017751479
prever;0;0.99408284;0.982248521
prever;1;0.00591716;0.017751479
arriurdina;0;0.99408284;0.98816568
arriurdina;1;0.00591716;0.01183432
jundiz;0;0.99408284;0.976331361
jundiz;1;0.00591716;0.023668639
comenzar;0;0.982248521;0.99408284
comenzar;1;0.017751479;0.00591716
inscripcion;0;0.982248521;0.99408284
inscripcion;1;0.017751479;0.00591716
prudencio;0;0.982248521;0.98816568
prudencio;1;0.017751479;0.01183432
santo;0;0.976331361;0.970414201
santo;1;0.023668639;0.029585799
hecho;0;0.99408284;0.982248521
hecho;1;0.00591716;0.017751479
color;0;0.98816568;0.98816568
color;1;0.01183432;0.01183432
bicicleta;0;0.98816568;0.982248521
bicicleta;1;0.01183432;0.017751479
euskadi;0;0.982248521;0.982248521
euskadi;1;0.017751479;0.017751479
mejor;0;0.982248521;0.99408284
mejor;1;0.017751479;0.00591716
camara;0;0.98816568;0.98816568
camara;1;0.01183432;0.01183432
estacion;0;0.99408284;0.982248521
estacion;1;0.00591716;0.017751479
curso;0;0.970414201;0.99408284
curso;1;0.029585799;0.00591716
instalacion;0;0.98816568;0.99408284
instalacion;1;0.01183432;0.00591716
alguno;0;0.976331361;0.976331361
alguno;1;0.023668639;0.023668639
medio;0;0.982248521;0.982248521
medio;1;0.017751479;0.017751479
salar;0;0.98816568;0.98816568
salar;1;0.01183432;0.01183432
abril;0;0.976331361;0.98816568
abril;1;0.023668639;0.01183432
generar;0;0.982248521;0.98816568
generar;1;0.017751479;0.01183432
jueves;0;0.98816568;0.98816568
jueves;1;0.01183432;0.01183432
homicidio;0;0.99408284;0.982248521
homicidio;1;0.00591716;0.017751479
intento;0;0.99408284;0.982248521
intento;1;0.00591716;0.017751479
menor;0;0.99408284;0.976331361
menor;1;0.00591716;0.023668639
america;0;0.99408284;0.982248521
america;1;0.00591716;0.017751479
bus;0;0.99408284;0.964497041
bus;1;0.00591716;0.035502959
latinar;0;0.99408284;0.982248521
latinar;1;0.00591716;0.017751479
nevar;0;0.976331361;0.99408284
nevar;1;0.023668639;0.00591716
vivir;0;0.982248521;0.99408284
vivir;1;0.017751479;0.00591716
asi;0;0.982248521;0.99408284
asi;1;0.017751479;0.00591716
gobierno;0;0.982248521;0.99408284
gobierno;1;0.017751479;0.00591716
video;0;0.976331361;0.98816568
video;1;0.023668639;0.01183432
encimar;0;0.99408284;0.98816568
encimar;1;0.00591716;0.01183432
atrapar;0;0.98816568;0.98816568
atrapar;1;0.01183432;0.01183432
callar;0;0.99408284;0.982248521
callar;1;0.00591716;0.017751479
existir;0;0.99408284;0.982248521
existir;1;0.00591716;0.017751479
publico;0;0.99408284;0.976331361
publico;1;0.00591716;0.023668639
alta;0;0.99408284;0.976331361
alta;1;0.00591716;0.023668639
cada;0;0.98816568;0.98816568
cada;1;0.01183432;0.01183432
peor;0;0.98816568;0.98816568
peor;1;0.01183432;0.01183432
ficcion;0;0.98816568;0.99408284
ficcion;1;0.01183432;0.00591716
vengar;0;0.99408284;0.98816568
vengar;1;0.00591716;0.01183432
litro;0;0.99408284;0.982248521
litro;1;0.00591716;0.017751479
recorrer;0;0.98816568;0.98816568
recorrer;1;0.01183432;0.01183432
campaña;0;0.976331361;0.99408284
campaña;1;0.023668639;0.00591716
dgt;0;0.98816568;0.98816568
dgt;1;0.01183432;0.01183432
almendra;0;0.98816568;0.99408284
almendra;1;0.01183432;0.00591716
medieval;0;0.98816568;0.98816568
medieval;1;0.01183432;0.01183432
calidad;0;0.98816568;0.98816568
calidad;1;0.01183432;0.01183432
transporte;0;0.99408284;0.98816568
transporte;1;0.00591716;0.01183432
espacio;0;0.98816568;0.98816568
